Subject,Code,,Event Type,Time,TTime,Condition,Decisions,Outcomes,Reaction Time,Stimuli_Order,High_Reward_Chosen,High_Loss_Chosen
LN_VTA_1,trial_10_rew_2_f1_f2_acum_r1_l2_task_1_sess_3,,Picture,[8664.90092753],[0],1,2,0,1.371978572,f1_f2,0,
LN_VTA_1,trial_11_rew_3_f2_f1_acum_r1_l2_task_1_sess_3,,Picture,[8676.15393171],[0],1,1,1,0.794031818,f2_f1,0,
LN_VTA_1,trial_12_neu_3_f1_f2_acum_r2_l2_task_1_sess_3,,Picture,[8686.15876949],[0],3,1,0,0.957717397,f1_f2,,
LN_VTA_1,trial_13_neu_4_f1_f2_acum_r2_l2_task_1_sess_3,,Picture,[8696.14662581],[0],3,2,0,0.692312956,f1_f2,,
LN_VTA_1,trial_14_rew_4_f1_f2_acum_r2_l2_task_1_sess_3,,Picture,[8708.6648725],[0],1,1,1,0.655404293,f1_f2,1,
LN_VTA_1,trial_15_rew_5_f2_f1_acum_r3_l2_task_1_sess_3,,Picture,[8722.41506171],[0],1,1,0,0.989791508,f2_f1,0,
LN_VTA_1,trial_16_neu_5_f1_f2_acum_r3_l2_task_1_sess_3,,Picture,[8743.68950463],[0],3,2,0,0.759849944,f1_f2,,
LN_VTA_1,trial_17_rew_6_f2_f1_acum_r3_l2_task_1_sess_3,,Picture,[8756.19120358],[0],1,1,1,0.886642255,f2_f1,0,
LN_VTA_1,trial_18_rew_7_f2_f1_acum_r4_l2_task_1_sess_3,,Picture,[8767.44433244],[0],1,1,0,1.847569382,f2_f1,0,
LN_VTA_1,trial_19_neu_6_f1_f2_acum_r4_l2_task_1_sess_3,,Picture,[8786.18849066],[0],3,2,0,1.219987182,f1_f2,,
LN_VTA_1,trial_20_los_7_f2_f1_acum_r4_l2_task_1_sess_3,,Picture,[8797.45830829],[0],2,1,0,1.394199033,f2_f1,,0
LN_VTA_1,trial_21_los_8_f1_f2_acum_r4_l2_task_1_sess_3,,Picture,[8808.71140598],[0],2,1,0,0.989010743,f1_f2,,1
LN_VTA_1,trial_22_neu_7_f1_f2_acum_r4_l2_task_1_sess_3,,Picture,[8819.96458882],[0],3,1,0,0.443436304,f1_f2,,
LN_VTA_1,trial_23_los_9_f1_f2_acum_r4_l2_task_1_sess_3,,Picture,[8831.21774429],[0],2,1,-1,2.465042112,f1_f2,,1
LN_VTA_1,trial_24_rew_8_f2_f1_acum_r4_l3_task_1_sess_3,,Picture,[8846.21640627],[0],1,1,0,1.026014245,f2_f1,0,
LN_VTA_1,trial_25_rew_9_f1_f2_acum_r4_l3_task_1_sess_3,,Picture,[8856.22105095],[0],1,1,0,1.445301171,f1_f2,1,
LN_VTA_1,trial_26_rew_10_f1_f2_acum_r4_l3_task_1_sess_3,,Picture,[8866.20901826],[0],1,1,1,1.266545561,f1_f2,1,
LN_VTA_1,trial_27_neu_8_f2_f1_acum_r5_l3_task_1_sess_3,,Picture,[8879.97586507],[0],3,2,0,1.069933072,f2_f1,,
LN_VTA_1,trial_28_rew_11_f2_f1_acum_r5_l3_task_1_sess_3,,Picture,[8902.49880433],[0],1,1,0,1.140898169,f2_f1,0,
LN_VTA_1,trial_29_rew_12_f1_f2_acum_r5_l3_task_1_sess_3,,Picture,[8912.48677697],[0],1,1,1,1.540215513,f1_f2,1,
LN_VTA_1,trial_30_los_10_f1_f2_acum_r6_l3_task_1_sess_3,,Picture,[8923.75655431],[0],2,2,-1,0.886311931,f1_f2,,0
LN_VTA_1,trial_31_los_11_f2_f1_acum_r6_l4_task_1_sess_3,,Picture,[8935.00979758],[0],2,1,0,1.002121447,f2_f1,,0
LN_VTA_1,trial_32_neu_9_f2_f1_acum_r6_l4_task_1_sess_3,,Picture,[8947.5114684],[0],3,2,0,0.891450008,f2_f1,,
LN_VTA_1,trial_34_neu_10_f2_f1_acum_r6_l4_task_1_sess_3,,Picture,[8985.016344],[0],3,2,0,0.725505379,f2_f1,,
LN_VTA_1,trial_35_neu_11_f1_f2_acum_r6_l4_task_1_sess_3,,Picture,[8995.02106319],[0],3,1,0,0.819620329,f1_f2,,
LN_VTA_1,trial_36_neu_12_f2_f1_acum_r6_l4_task_1_sess_3,,Picture,[9006.29083102],[0],3,1,0,0.822164469,f2_f1,,
LN_VTA_1,trial_37_los_13_f1_f2_acum_r6_l4_task_1_sess_3,,Picture,[9016.27886068],[0],2,2,0,1.40931905,f1_f2,,0
LN_VTA_1,trial_38_neu_13_f2_f1_acum_r6_l4_task_1_sess_3,,Picture,[9028.79716895],[0],3,1,0,0.697893111,f2_f1,,
LN_VTA_1,trial_39_neu_14_f2_f1_acum_r6_l4_task_1_sess_3,,Picture,[9047.54130322],[0],3,2,0,0.624951202,f2_f1,,
LN_VTA_1,trial_41_neu_15_f2_f1_acum_r6_l4_task_1_sess_3,,Picture,[9076.30677096],[0],3,2,0,0.599924128,f2_f1,,
LN_VTA_1,trial_42_rew_14_f2_f1_acum_r6_l4_task_1_sess_3,,Picture,[9097.58121274],[0],1,1,0,1.105589621,f2_f1,0,
LN_VTA_1,trial_43_los_14_f2_f1_acum_r6_l4_task_1_sess_3,,Picture,[9111.33134189],[0],2,2,-1,0.835659095,f2_f1,,1
